"","brewery_name","brewery_id","beers","beers_id","n_beers","mean_overall","mean_aroma","mean_appearance","mean_palate","mean_taste","n_reviews"
"11","2nd Shift Brewery",24428,"[""Weiss & Virtue"",""Liquid Spiritual Delight Ale"",""Hibiscus Wit"",""Cat Spit Stout"",""CollaboRation"",""Art Of Neurosis IPA"",""El Gato Grande"",""Unicorn Killer"",""Wheat Freak""]","[""68133"",""75682"",""66018"",""73133"",""70628"",""64965"",""73210"",""71916"",""72108""]",9,3.77272727272727,3.65909090909091,3.86363636363636,3.75,3.81818181818182,22
"12","3 Ravens Brewing",4778,"[""3 Ravens Blond"",""3 Ravens Oktoberfest"",""3 Ravens Rye"",""3 Ravens Bock The Ravenator"",""Über Special Bitter"",""3 Ravens Dark"",""3 Ravens Bronze"",""3 Ravens Black"",""3 Ravens Hell"",""3 Ravens Über Blond Sticke Altbier"",""3 Ravens Ale Noir"",""3 Ravens White"",""3 Ravens Double Ale Noir"",""3 Ravens Schwarz Dark Lager"",""3 Ravens 55""]","[""10229"",""74240"",""62096"",""61546"",""57327"",""39819"",""23917"",""10228"",""73316"",""67506"",""61594"",""35988"",""69679"",""73197"",""41597""]",15,3.5495867768595,3.40082644628099,3.52479338842975,3.49586776859504,3.48760330578512,121
"13","32 Via Dei Birrai",14733,"[""Oppale"",""Atra"",""Audace"",""Curmi"",""Admiral""]","[""34255"",""37037"",""34446"",""33507"",""36864""]",5,3,3.07692307692308,3.19230769230769,2.80769230769231,2.84615384615385,13
"14","4 Pines Brewing Company",18111,"[""4 Pines Märzen"",""4 Pines IPA"",""4 Pines Dry Stout"",""4 Pines Hefeweizen"",""4 Pines Dunkelweizen"",""4 Pines German Pilsener"",""4 Pines Kristalweizen"",""4 Pines ESB"",""4 Pines Pale Ale"",""4 Pines Kolsch"",""4 Pines Wee Heavy""]","[""73940"",""49997"",""62998"",""44992"",""73942"",""73937"",""73938"",""49996"",""44993"",""44496"",""66365""]",11,3.66949152542373,3.57627118644068,3.77966101694915,3.56779661016949,3.59322033898305,59
"15","4th Street Brewing Co.",9694,"[""Farmhouse"",""German Hefe"",""Single Malt Ale (Golden Promise Malt)"",""Black Roots Blonde"",""80 Shilling"",""Cherry"",""Powell Porter"",""Double Red"",""Dark IPA"",""Main Street Single Malt Ale"",""Gresham Light"",""Main Street Kölsch"",""German Pilsner"",""Way Heavy Scottish"",""Belgium Wit"",""Robert's Red Ale"",""Vienna Lager"",""Wheat IPA"",""Oatmeal Stout"",""Brown Ale"",""Belgian Tripel"",""Eager Beaver IPA"",""Demented Duck Amber Ale"",""Doppelbock"",""Weizen Bock""]","[""44134"",""18696"",""58849"",""43667"",""43664"",""52712"",""19885"",""58848"",""59903"",""23896"",""44133"",""18694"",""51362"",""23895"",""43665"",""23894"",""59316"",""51363"",""19883"",""23898"",""40106"",""18695"",""43666"",""51364"",""19884""]",25,3.69354838709677,3.30645161290323,3.37096774193548,3.58064516129032,3.53225806451613,31
"16","508 Gastrobrewery",25860,"[""508 Strong Ale"",""508 DIPA"",""508 Montezuma Imperial Stout"",""508 Belgian Strong Ale"",""508 Lager"",""508 Galaxy Common""]","[""70506"",""75802"",""76906"",""72076"",""70509"",""75801""]",6,4.25,4,4.33333333333333,4.16666666666667,4.25,6
"17","7 Seas Brewery and Taproom",20658,"[""Ballz Deep Double IPA"",""Cascadian Dark Ale"",""Saison Du Sept Mers"",""Barrel Aged Port Royal Stout W/ Vanilla Beans"",""Wheelchair"",""Santa's Smokin' Winter Warmer"",""Hop Prophet"",""Rude Parrot"",""British Pale Ale"",""Cutt's Ale"",""Port Royal Stout"",""Smoked Porter""]","[""53679"",""68447"",""64423"",""58128"",""66845"",""65639"",""73646"",""58129"",""53677"",""53678"",""54724"",""66213""]",12,3.57954545454545,3.30681818181818,3.81818181818182,3.56818181818182,3.57954545454545,44
"18","75th Street Brewery",2143,"[""Good Hope IPA"",""The Five Point Palm Exploding HOP Technique"",""Possum Trot Brown Ale"",""Muddy Mo&#8217; Stout"",""Royal Raspberry Wheat"",""Fountain City Amber"",""Porter's Porter"",""ESB"",""Hefeweizen"",""Aviator Oatmeal Stout"",""Red Eye Rye"",""Uniquity"",""Blueberry Wheat"",""Dark Wheat"",""Golden Ale"",""Dante's Dream"",""Fountain City Irish Red"",""Dark Rye"",""Maibock"",""Alpha Male IPA"",""Annona"",""Kaw Point Pale Ale"",""Cow Town Wheat"",""Pumpkin Spice"",""California Common"",""Dante's Nightmare"",""How's Your Mama?"",""XXX-Mas Ale"",""Reverend Waldo Abbey Ale""]","[""5777"",""42199"",""5774"",""5776"",""5766"",""20669"",""13878"",""49440"",""5767"",""8519"",""20653"",""66220"",""44606"",""9433"",""8547"",""44270"",""23289"",""8435"",""23871"",""30496"",""63569"",""45272"",""5764"",""20654"",""5775"",""44792"",""44791"",""40158"",""39338""]",29,3.59722222222222,3.47222222222222,3.67592592592593,3.55092592592593,3.55555555555556,108
"19","8 Wired Brewing Co.",22618,"[""Rewired Brown Ale"",""Batch 18 Barrel Aged Imperial Stout"",""Red Dwarf"",""Black Dwarf"",""The Big Smoke"",""Hopwired IPA"",""Tall Poppy"",""IStout"",""Saison Sauvin"",""The Sultan""]","[""57871"",""71248"",""60629"",""76297"",""63898"",""63896"",""65567"",""63197"",""71278"",""72966""]",10,3.87888198757764,3.95962732919255,3.94099378881988,3.8167701863354,3.8944099378882,161
"20","À l’abri de la Tempête",11256,"[""Écume"",""Corne De Brume"",""L'independante"",""La Pas Perdus"",""La Grave"",""Belle Saison"",""Corps Mort"",""Terre Ferme"",""Palabre Du Bot’Aouelle"",""Le Vieux Couvent""]","[""23208"",""29077"",""47260"",""39820"",""39822"",""68872"",""53571"",""51854"",""76866"",""39821""]",10,3.74230769230769,3.62307692307692,3.75384615384615,3.68846153846154,3.66923076923077,130
"21","À La Fût",16495,"[""Tripe à 3 Brett"",""British"",""L'ange Noir"",""Ma Premiere Blonde"",""St Rodeo"",""Co Hop IV"",""Mékinoise"",""Ruine-Papilles"",""Raspberry Stout"",""La Crique"",""Tripe à 3 Chêne""]","[""59020"",""42997"",""61838"",""42995"",""49750"",""76298"",""46347"",""57215"",""42996"",""68055"",""72590""]",11,3.58620689655172,3.63793103448276,3.74137931034483,3.51724137931034,3.58620689655172,29
"22","A Tribbiera",11784,"[""Dea"",""Embria"",""Prima"",""Apa"",""Mora""]","[""26154"",""26677"",""25915"",""26679"",""26155""]",5,2.4,2.2,2.5,2.3,2.4,5
"23","A.J.I. Beer Inc",3534,"[""Minoh Pilsner"",""Minoh Stout"",""Osaka Bakushu [Stout]"",""Minoh Dark Lager"",""Minoh Ukon (Tumeric)"",""Minoh W-IPA"",""Minoh Imperial Stout"",""Minoh IPA"",""Minoh Beer Weizen"",""Minoh Red Ale"",""Minoh Cabernet Ale"",""Minoh Beer Pale Ale"",""Minoh Ganja High""]","[""20635"",""15675"",""60734"",""28722"",""15676"",""42557"",""50349"",""23933"",""15678"",""21020"",""22295"",""15677"",""21488""]",13,3.61,3.55,3.75,3.54,3.53,50
"24","A1A Aleworks",3972,"[""Red Brick Ale"",""Bridge Of Lions Brown Ale"",""Winter's Nip Holiday Porter"",""Oktoberfest Lager"",""Porpoise Point Pale Ale"",""Winter's Nip Bock"",""A. Strange Stout"",""King Street Light Lager"",""IPA"",""Summer Wheat""]","[""16275"",""10973"",""46626"",""45104"",""10974"",""55240"",""10972"",""46622"",""49202"",""44534""]",10,3.48571428571429,3.34285714285714,3.67142857142857,3.47142857142857,3.37142857142857,35
"25","Aass Brewery",185,"[""Aass Juleøl"",""Aass Genuine Pilsner"",""Aass Halling Pilsnerøl"",""Aass Original Lager"",""Aass Bock"",""Aass Bayer (Aass Dark)"",""Aass Gourmet Pale Ale"",""Aass Gulløl"",""Aass Classic"",""Aass Juleøl Premium 9%""]","[""8027"",""594"",""42045"",""596"",""664"",""3459"",""77313"",""25483"",""663"",""46084""]",10,3.72272727272727,3.54545454545455,3.75454545454545,3.55909090909091,3.69090909090909,110
"26","Abashiri, K.K.",4785,"[""Hotate Draft"",""Beta Bore"",""Konbu Draft"",""Nonky"",""Pilsener"",""Bilk"",""Oishii Mizu"",""Weizen"",""Stout"",""Alt""]","[""18870"",""16251"",""16457"",""16489"",""15752"",""37818"",""16435"",""15972"",""16137"",""16041""]",10,3.5,3.58333333333333,3.54166666666667,3.29166666666667,3.41666666666667,12
